sampling_area,month,region,habitat,season,sex,class,species,unique_id
Area_07,decembre,montain,sky,Winter,M,J-3,Astyanax_fasciatus,F0001
Area_07,juin,valley,river,Winter,M,M-6,Prochilodus_lineatus,F0002
Area_03,mai,montain,river,Winter,M,K-4,Rhamdia_quelen,F0003
Area_06,septembre,montain,river,Winter,M,H-1,Pimelodus_maculatus,F0004
Area_03,avril,pothole,marine,Winter,F,J-3,Leporinus_friderici,F0005
Area_02,mars,montain,estuary,Autumn,M,J-3,Prochilodus_lineatus,F0006
Area_02,juillet,pothole,sky,Spring,F,J-3,Hoplias_malabaricus,F0007
Area_06,avril,pothole,lake,Spring,F,J-3,Hoplias_malabaricus,F0008
Area_03,mai,pothole,fast-stream,Winter,F,N-7,Leporinus_friderici,F0009
Area_05,aout,montain,marine,Summer,M,I-2,Cichla_ocellaris,F0010
Area_04,juillet,pothole,lake,Autumn,F,K-4,Hoplias_malabaricus,F0011
Area_06,decembre,montain,sky,Autumn,F,I-2,Cichla_ocellaris,F0012
Area_06,decembre,plains,river,Summer,M,I-2,Rhamdia_quelen,F0013
Area_01,aout,pothole,estuary,Spring,M,N-7,Geophagus_brasiliensis,F0014
Area_02,juin,valley,sky,Autumn,F,I-2,Cichla_ocellaris,F0015
Area_03,aout,valley,river,Spring,F,M-6,Leporinus_friderici,F0016
Area_08,novembre,montain,lake,Winter,M,I-2,Leporinus_friderici,F0017
Area_05,juillet,pothole,estuary,Summer,F,L-5,Prochilodus_lineatus,F0018
Area_03,novembre,pothole,sky,Winter,F,I-2,Leporinus_friderici,F0019
Area_03,decembre,montain,sky,Spring,F,L-5,Geophagus_brasiliensis,F0020
Area_01,janvier,valley,estuary,Spring,M,K-4,Leporinus_friderici,F0021
Area_04,juin,plains,fast-stream,Spring,F,H-1,Geophagus_brasiliensis,F0022
Area_01,decembre,pothole,fast-stream,Spring,F,N-7,Rhamdia_quelen,F0023
Area_01,octobre,montain,fast-stream,Winter,F,M-6,Rhamdia_quelen,F0024
Area_05,juin,valley,slow-stream,Spring,M,N-7,Geophagus_brasiliensis,F0025
Area_03,octobre,pothole,slow-stream,Winter,F,L-5,Pimelodus_maculatus,F0026
