"sampling_area","month","region","habitat","season","sex","class","unique_id","species","prey_1","prey_2","prey_3","prey_4","prey_5","prey_6","prey_7","prey_8","prey_9","prey_10","prey_11","prey_12","prey_13","prey_14","prey_15","prey_16","prey_17","prey_18","prey_19","prey_20","prey_21","prey_22","prey_23","prey_24","prey_25","prey_26","prey_27","prey_28","prey_29","prey_30","prey_31","prey_32","prey_33","prey_34","prey_35","prey_36","prey_37","prey_38","prey_39","prey_40","prey_41","prey_42","prey_43","prey_44","prey_45","prey_46","prey_47","prey_48","prey_49","prey_50","prey_51","prey_52","prey_53","prey_54","prey_55","prey_56","prey_57","prey_58","prey_59","prey_60"
"Area_07","decembre","montain","sky","Winter","M","J-3","F0001","Astyanax_fasciatus",0,0.13,0.07,0.81,0.7,0,0.53,0.63,0.77,0.62,0,0,0.4,0,0.59,0.07,0,0.83,0,0,0.88,0,0.32,0.39,0.47,0.78,0,0,0.39,0.05,0.95,0.15,0,0.3,0.38,0.41,0,0,0,0,0.38,0.29,0,0.15,0,0,0,0.77,0,0.93,0,0,0,0.15,0.49,0,0,0,0.25,0.52
"Area_07","juin","valley","river","Winter","M","M-6","F0002","Prochilodus_lineatus",0.04,0.33,0.45,0,0.02,0.26,0.59,0,0.79,0.33,0,0,0,0.72,0.62,0.19,0.71,0,0.23,0.82,0.28,0,0,0.36,0,0.64,0.49,0,0,0.13,0.93,0.25,0.7,0.65,0.56,0,0.05,0.27,0.84,0,0,0,0.6,0.03,0.09,0,0.55,0.31,0.43,0.57,0,0.31,0,0,0,0,0.79,0.45,0,0.22
"Area_03","mai","montain","river","Winter","M","K-4","F0003","Rhamdia_quelen",0.1,0,0.16,0.2,0.48,0,0,0,0.89,0.99,0,0.61,0.21,0.8,0.53,0.18,0,0,0.38,0,0.09,0,0.63,0.22,0,0.1,0.22,0.31,0.18,0,0,1,0,0,0,0,0.63,0.72,0,0,0.86,0.93,0,0,0.33,0.48,0,0,0.05,0.69,0,0.39,0.06,0.72,0.12,0.98,0.09,0,0.57,0.16
"Area_06","septembre","montain","river","Winter","M","H-1","F0004","Pimelodus_maculatus",0.05,0,0.33,0,0.99,0,0,0,0.63,0.56,0.05,0.69,0.41,0.38,0.91,0,0,0.32,0.88,0.6,0.93,0.18,0.9,0,0.09,0.58,0.79,0.99,0.11,0.14,0,0.08,0.27,0,0.5,0.86,0,0.61,0,0.37,0,0.39,0.43,0.34,0,0.83,0.72,0,0.9,0.83,0.93,0.04,0,0,0,0,0.75,0,0.78,0.03
"Area_03","avril","pothole","marine","Winter","F","J-3","F0005","Leporinus_friderici",1,0.24,0,0.91,0.34,0,0,0.46,0,0.88,0.4,0.61,0.11,0.85,0,0,0.85,0.84,0.84,0.15,0.12,0.33,0,0.61,0.89,0.38,0,0,0,0,0,0.27,0,0,0,0.56,0,0.42,0.08,0.55,0,0,0.03,0.67,0.25,0.06,0.25,0,0,0.57,0.24,0,0.35,0.87,0.99,0.35,0.95,0.64,0.44,0
"Area_02","mars","montain","estuary","Autumn","M","J-3","F0006","Prochilodus_lineatus",0.51,0,0.87,0,0.43,0.66,0,0.09,0.51,0,0.92,0.25,0,0.78,0,0,0,0.44,0,0,0,0,0.91,0.4,0.47,0.1,0.43,0,0,0.89,0.72,0.34,0.79,0,0.16,0.62,0.65,0,0.15,0,0,0,0,0,0,0.36,0.48,0.95,0.32,0,0.63,0.99,0,0,0,0.59,0,0.97,0.32,0
"Area_02","juillet","pothole","sky","Spring","F","J-3","F0007","Hoplias_malabaricus",0,0.52,0,0,0.2,0.31,0,0.29,0.5,0.54,0.86,0.06,0,0.75,0.75,0.36,0.49,0,0.41,0,0,0.76,0,0.76,0.38,0.92,0,0,0.24,0.44,0.07,0.26,0,0.04,0.52,0.44,0,0.62,0,0.95,0.36,0.33,0,0.99,0.64,0,0,0,0,0,0.85,0.04,0.09,0,0.25,0.37,0.04,0,0.85,0.27
"Area_06","avril","pothole","lake","Spring","F","J-3","F0008","Hoplias_malabaricus",0,0.58,0,0.34,0.04,0.9,0.2,0.33,0.45,0.05,0.38,0.86,0.65,0,0.4,0.98,0.08,0.8,0.28,0,0.67,0,0.76,0.04,0.99,0.54,0,0.78,0.85,0.66,0.85,0.97,0.6,0.14,0.96,0.07,0,0,0.35,0.95,0.35,0.82,0.29,0.01,0,0,0.59,0,0.52,0.87,0.98,0,0.23,0.48,0,0.32,0.22,0.82,0.06,0.9
"Area_03","mai","pothole","fast-stream","Winter","F","N-7","F0009","Leporinus_friderici",0.38,0.72,0.32,0.04,0.79,0.99,0.2,0,0,0.62,0,0.77,0,0.23,0.05,0.83,0.32,0.67,0,0.29,0.02,0.89,0.85,0,0.87,0,0.8,0,0.25,0,0.81,0.79,0.57,0.35,0.69,0,1,0.17,0.79,0.59,0,0.12,0.32,0,0.1,0.03,0.48,0.28,0,0,0.61,0.8,0.18,0.61,0.74,0,0.24,0,0,0
"Area_05","aout","montain","marine","Summer","M","I-2","F0010","Cichla_ocellaris",0.89,0.48,0.68,0.62,0.85,0,0,0.19,0.54,0.87,0,0,0.2,0.43,0.91,0,0.61,0,0,0,0.46,0,0,0,0.39,0.68,0.31,0.22,0,0,0,0.78,0,0.2,0,0,0,0.08,0,0,0.6,0.65,0,0,0.74,0.26,0.24,0.87,0.77,0.91,0.03,0,0.32,0.33,0.08,0,0,0.39,0,0
"Area_04","juillet","pothole","lake","Autumn","F","K-4","F0011","Hoplias_malabaricus",0,0,0.5,0,0.78,0.86,0,0.04,0.62,0.28,0,0,0.97,0.59,0.97,0.13,0.76,0.31,0.93,0,0,0.71,0,0.92,0,0,0.1,0.65,0.05,0.14,0.3,0.91,0.16,0,0.92,0.41,0.65,0.25,0.74,0.33,0.34,0.14,0.46,0,0,0,0.49,0.88,0.86,0.03,0.13,0,0.55,0,0.69,0.33,0.65,0.16,1,0
"Area_06","decembre","montain","sky","Autumn","F","I-2","F0012","Cichla_ocellaris",0,0,0,0.75,0,0.45,0.19,0.24,0.35,0.75,0.64,0.32,0.35,0.55,0.71,0.75,0,0,0,0.63,0,0.17,0,0.63,0,0,0,0.03,0.48,0,0.35,0,0.7,0,0,0,0.4,0.9,0,0.62,0.16,0,0,0.71,0.45,0.27,0.17,0.05,0.61,0,0.98,0,0.38,0.54,0.39,0.81,0.17,0,0,0.45
"Area_06","decembre","plains","river","Summer","M","I-2","F0013","Rhamdia_quelen",0,0.84,0.04,0,0.35,0,0.87,0,0,0.6,0.57,0,0.19,0.85,0,0.9,0.21,0.22,0.51,0.89,0,0,0.98,0.42,0.85,0,0,0,0,0.32,0,0,0.6,0,0,0.57,0.25,0,0.13,0.96,0.46,0,0.99,0.48,0.32,0.07,0.74,0.28,0.31,0.29,0.92,0,0,0.08,0.91,0.69,0,0.02,0,0.64
"Area_01","aout","pothole","estuary","Spring","M","N-7","F0014","Geophagus_brasiliensis",0.7,0.33,0.07,0,0,0.35,0.68,0,0,0.39,0.71,0.18,0,0.27,0,0.57,0.67,0,0.36,0,0,0.21,0.19,0.75,0.81,0.07,0.65,0,0.71,0.34,0.05,0.63,0.76,0,0,0.69,0.53,0.59,0,0.38,0.84,0.37,0,0.67,0.65,0.41,0.16,0.34,0,0.38,0.49,0.5,0.29,0.6,0,0,0.06,0.83,0.38,0
"Area_02","juin","valley","sky","Autumn","F","I-2","F0015","Cichla_ocellaris",0.18,0,0.54,0,0,0.13,0.03,0.97,0.43,0.51,0.65,0.8,0.97,0,0.59,0.05,0,0.57,0.15,0,0.76,0.45,0.67,0,0,0.74,0.73,0.6,0,0.29,0.91,0.44,0.82,0,0.34,0.01,0.92,0.63,0.67,0,0,0.9,0.45,0.75,0.56,0.61,0.61,0,0,0,0.5,0.63,0,0.26,0.03,0,0,0.34,0,0.55
"Area_03","aout","valley","river","Spring","F","M-6","F0016","Leporinus_friderici",0.61,0,0.22,0,0.83,0.36,0.48,0,0,0.15,0.57,0.31,0,0.6,0.26,0,0,0,0,0.31,0,0.45,0,0.31,0.34,0.51,0.03,0.61,0.82,0,0.26,0.49,0,0,0,0,0.35,0,0.21,0,0.32,0,0,0,0.86,0.23,0.39,0,0.93,0,0.2,0,0.45,0,0.71,0.2,0.08,0.42,0,0.49
"Area_08","novembre","montain","lake","Winter","M","I-2","F0017","Leporinus_friderici",0,0,0.37,0.11,0.6,0.92,0.47,0,0,0.57,0.04,0.17,0.27,0,0.29,0,0.91,0,0,0.07,0,0.38,0.41,0,0.03,0,0,0,0,0,0.51,0,0.46,0.22,0,0,0.54,0.08,0,1,0.06,0.4,0.84,0,0,0.28,0.27,0.97,0.83,0,0.91,0,0,0,0.63,0,0.44,0.04,0.79,0
"Area_05","juillet","pothole","estuary","Summer","F","L-5","F0018","Prochilodus_lineatus",0.77,0.37,0.51,0,0,0.85,0.02,0.12,0,0.08,0.36,0,0.04,0.22,0,0.92,0.66,0.91,0,0.79,0,0.58,0,0,0,1,0.04,0.35,0.77,0.74,0.55,0,0,0,0,0.21,0.45,0,0.64,0,0,0.88,0.27,0.92,0.37,0.99,0,0,0.19,0.72,0.72,0.69,0.24,0,0.67,0,0.29,0,0,0.51
"Area_03","novembre","pothole","sky","Winter","F","I-2","F0019","Leporinus_friderici",0.56,0.2,0.96,0,0.87,0.44,0,0.48,0,0,0.24,0,0.54,0.4,0.64,0,0.93,0.55,0,0.81,0.11,0.64,0,0,0.96,0.21,0.62,0,0.3,0,0,0.57,0.13,0,0,0,0.21,0.63,0,0.97,0.39,0.24,0.17,0.09,0.04,0.17,0,0.41,1,0.16,0.72,0.43,0.41,0.39,0,0.34,0.21,0.4,0.13,0
"Area_03","decembre","montain","sky","Spring","F","L-5","F0020","Geophagus_brasiliensis",0.82,0.33,0.89,0,0,0.09,0.01,0.4,0,0.34,0,0.81,0,0,0.09,0,0.39,0.37,0.08,0,0.91,0.74,0,0,0.95,0,0.48,0.22,0,0.78,0,0.34,0.01,0.36,0.5,0,0.65,0.19,0.53,0.2,0.12,0.72,0.61,0.57,0.69,0,0,0.81,0.26,0.63,0.95,0.87,0.74,0,0.32,0,0,0.57,0.41,0.08
"Area_01","janvier","valley","estuary","Spring","M","K-4","F0021","Leporinus_friderici",0.56,0,0,0.94,0.59,0,0.1,0,0.66,0,0.89,0,0.62,0,0,1,0.36,0,0,0,0.58,0,0,0.26,0,0,0.08,0.07,0.28,0.54,0.81,0.29,0.58,0,0.89,0.23,0.3,0.48,0.44,0.94,0.92,0.35,0.19,0.39,0,0.51,0.32,0.48,0.79,0,0.29,0.15,0,0,0,0.36,0.52,0.56,0.69,0.75
"Area_04","juin","plains","fast-stream","Spring","F","H-1","F0022","Geophagus_brasiliensis",0.1,0,0,0.61,0.41,0,0,0,0.56,0.69,0.94,0,0.67,0,0,0,0.97,0,0,0.14,0.61,0.32,0,0.31,0.33,0.8,0.67,0.19,0,0.05,0.27,0.25,0,0.15,0.52,0.71,0.06,0,0,0.11,0.84,0,0.35,0.86,0.63,0,0.15,0,0.88,0.53,0,0.2,0.52,0.19,0.88,0.97,0.72,0,0.98,0.71
"Area_01","decembre","pothole","fast-stream","Spring","F","N-7","F0023","Rhamdia_quelen",0,0,0.94,0,0,0,0.7,0.49,0.74,0.85,0.95,0.42,0,0.75,0,0,0.18,0,0,0.9,0.68,0,0.35,0.34,0,0,0.9,0,0.7,0.56,0.77,0.94,0,0,0.35,0.06,0.16,0.11,0,0.09,0.24,0,0.73,0,0.98,0.39,0.16,0.16,0.9,0.2,0.69,0,0.23,0.17,0.55,0.18,0.1,0,0.27,0.35
