"","scenario_name","prey_item","stomachs_with_prey","total_stomachs","frequency_occurrence","total_volume_item","total_volume_all","volume_percentage","fo_times_v","iai"
"1","sampling_area=Area_01__season=Autumn__sex=F","prey_43",19,23,82.6086956521739,11.46,456.79,2.50881148886797,207.249644732571,3.15429902534565
"2","sampling_area=Area_01__season=Autumn__sex=F","prey_34",17,23,73.9130434782609,11.26,456.79,2.46502769325073,182.197699066358,2.77301331602675
"3","sampling_area=Area_01__season=Autumn__sex=F","prey_12",19,23,82.6086956521739,9.57,456.79,2.09505462028503,173.069729501807,2.63408740598236
"4","sampling_area=Area_01__season=Autumn__sex=F","prey_22",19,23,82.6086956521739,9.55,456.79,2.09067624072331,172.708037277143,2.62858252112137
"5","sampling_area=Area_01__season=Autumn__sex=F","prey_3",18,23,78.2608695652174,10.03,456.79,2.19575735020469,171.841879581237,2.61539977053322
"6","sampling_area=Area_01__season=Autumn__sex=F","prey_49",17,23,73.9130434782609,9.99,456.79,2.18700059108124,161.64786977557,2.46024893668803
"7","sampling_area=Area_01__season=Autumn__sex=F","prey_31",16,23,69.5652173913043,10.57,456.79,2.31397359837124,160.972076408434,2.44996349392145
"8","sampling_area=Area_01__season=Autumn__sex=F","prey_37",17,23,73.9130434782609,9.37,456.79,2.05127082466779,151.615669649358,2.30756081449117
"9","sampling_area=Area_01__season=Autumn__sex=F","prey_60",17,23,73.9130434782609,8.94,456.79,1.95713566409072,144.657853432792,2.20166421361271
"10","sampling_area=Area_01__season=Autumn__sex=F","prey_40",17,23,73.9130434782609,8.91,456.79,1.95056809474813,144.172424394427,2.1942760786677
"11","sampling_area=Area_01__season=Autumn__sex=F","prey_54",15,23,65.2173913043478,9.92,456.79,2.17167626261521,141.63106060534,2.15559701924971
"12","sampling_area=Area_01__season=Autumn__sex=F","prey_38",17,23,73.9130434782609,8.69,456.79,1.90240591956917,140.612611446417,2.1400964224043
"13","sampling_area=Area_01__season=Autumn__sex=F","prey_59",17,23,73.9130434782609,8.61,456.79,1.88489240132227,139.318134010776,2.12039472921761
"14","sampling_area=Area_01__season=Autumn__sex=F","prey_35",16,23,69.5652173913043,9.02,456.79,1.97464918233762,137.366899640878,2.0906973240465
"15","sampling_area=Area_01__season=Autumn__sex=F","prey_56",18,23,78.2608695652174,7.99,456.79,1.74916263490882,136.890988818951,2.08345405449257
"16","sampling_area=Area_01__season=Autumn__sex=F","prey_11",17,23,73.9130434782609,8.21,456.79,1.79732481008779,132.845746832575,2.02188626328416
"17","sampling_area=Area_01__season=Autumn__sex=F","prey_28",16,23,69.5652173913043,8.6,456.79,1.88270321154141,130.970658194185,1.99334778124167
"18","sampling_area=Area_01__season=Autumn__sex=F","prey_4",15,23,65.2173913043478,9.12,456.79,1.99654108014624,130.209200879102,1.98175854995538
"19","sampling_area=Area_01__season=Autumn__sex=F","prey_48",16,23,69.5652173913043,8.35,456.79,1.82797346701986,127.163371618773,1.93540162481023
"20","sampling_area=Area_01__season=Autumn__sex=F","prey_14",16,23,69.5652173913043,8.32,456.79,1.82140589767727,126.706497229723,1.92844808603845
"21","sampling_area=Area_01__season=Autumn__sex=F","prey_9",16,23,69.5652173913043,8.07,456.79,1.76667615315572,122.899210654311,1.87050192960701
"22","sampling_area=Area_01__season=Autumn__sex=F","prey_32",15,23,65.2173913043478,8.41,456.79,1.84110860570503,120.072300372067,1.82747690845666
