"scenario_name","prey_item","stomachs_with_prey","total_stomachs","frequency_occurrence","total_volume_item","total_volume_all","volume_percentage","fo_times_v","iai"
"species=Astyanax_fasciatus__sex=F__region=montain","prey_48",12,14,85.7142857142857,6.94,254.25,2.72959685349066,233.965444584914,3.58589925207649
"species=Astyanax_fasciatus__sex=F__region=montain","prey_44",13,14,92.8571428571429,6.18,254.25,2.4306784660767,225.705857564265,3.45930770787494
"species=Astyanax_fasciatus__sex=F__region=montain","prey_8",12,14,85.7142857142857,5.8,254.25,2.28121927236971,195.533080488833,2.99686104640398
"species=Astyanax_fasciatus__sex=F__region=montain","prey_10",11,14,78.5714285714286,6.31,254.25,2.48180924287119,194.999297654165,2.98867996021409
"species=Astyanax_fasciatus__sex=F__region=montain","prey_6",12,14,85.7142857142857,5.44,254.25,2.13962635201573,183.396544458491,2.81084898145477
"species=Astyanax_fasciatus__sex=F__region=montain","prey_60",11,14,78.5714285714286,5.57,254.25,2.19075712881023,172.130917263661,2.6381850044996
"species=Astyanax_fasciatus__sex=F__region=montain","prey_28",12,14,85.7142857142857,5.1,254.25,2.00589970501475,171.934260429836,2.63517092011385
"species=Astyanax_fasciatus__sex=F__region=montain","prey_47",11,14,78.5714285714286,5.38,254.25,2.11602753195674,166.259306082315,2.54819305641074
"species=Astyanax_fasciatus__sex=F__region=montain","prey_25",11,14,78.5714285714286,5.13,254.25,2.01769911504425,158.533501896334,2.42978259839909
"species=Astyanax_fasciatus__sex=F__region=montain","prey_58",10,14,71.4285714285714,5.63,254.25,2.21435594886922,158.168282062087,2.42418501311127
"species=Astyanax_fasciatus__sex=F__region=montain","prey_29",11,14,78.5714285714286,5.1,254.25,2.00589970501475,157.606405394016,2.41557334343769
"species=Astyanax_fasciatus__sex=F__region=montain","prey_20",11,14,78.5714285714286,5.09,254.25,2.00196656833825,157.297373226577,2.41083692511723
"species=Astyanax_fasciatus__sex=F__region=montain","prey_42",10,14,71.4285714285714,5.47,254.25,2.15142576204523,153.673268717517,2.35529165572267
"species=Astyanax_fasciatus__sex=F__region=montain","prey_7",10,14,71.4285714285714,5.24,254.25,2.06096361848574,147.211687034696,2.25625745447656
"species=Astyanax_fasciatus__sex=F__region=montain","prey_3",9,14,64.2857142857143,5.51,254.25,2.16715830875123,139.317319848293,2.13526349556284
"species=Astyanax_fasciatus__sex=F__region=montain","prey_5",9,14,64.2857142857143,5.48,254.25,2.15535889872173,138.558786346397,2.12363774150351
"species=Astyanax_fasciatus__sex=F__region=montain","prey_9",9,14,64.2857142857143,5.33,254.25,2.09636184857424,134.766118836915,2.06550897120688
"species=Astyanax_fasciatus__sex=F__region=montain","prey_16",9,14,64.2857142857143,5.29,254.25,2.08062930186824,133.754740834387,2.05000796579445
"species=Astyanax_fasciatus__sex=F__region=montain","prey_36",9,14,64.2857142857143,5.16,254.25,2.02949852507375,130.467762326169,1.99962969820404
"species=Astyanax_fasciatus__sex=F__region=montain","prey_23",10,14,71.4285714285714,4.59,254.25,1.80530973451327,128.950695322377,1.97637819008538
"species=Astyanax_fasciatus__sex=F__region=montain","prey_55",10,14,71.4285714285714,4.59,254.25,1.80530973451327,128.950695322377,1.97637819008538
"species=Astyanax_fasciatus__sex=F__region=montain","prey_24",9,14,64.2857142857143,4.92,254.25,1.93510324483776,124.399494310999,1.90662366572943
"species=Astyanax_fasciatus__sex=F__region=montain","prey_56",11,14,78.5714285714286,3.99,254.25,1.5693215339233,123.30383480826,1.88983090986596
"species=Astyanax_fasciatus__sex=F__region=montain","prey_31",9,14,64.2857142857143,4.8,254.25,1.88790560471976,121.365360303413,1.86012064949213
"species=Astyanax_fasciatus__sex=F__region=montain","prey_57",10,14,71.4285714285714,4.29,254.25,1.68731563421829,120.522545301306,1.84720314498176
"species=Astyanax_fasciatus__sex=F__region=montain","prey_40",8,14,57.1428571428571,5.35,254.25,2.10422812192724,120.241606967271,1.84289731014498
"species=Astyanax_fasciatus__sex=F__region=montain","prey_18",10,14,71.4285714285714,4.2,254.25,1.65191740412979,117.994100294985,1.80845063145068
"species=Astyanax_fasciatus__sex=F__region=montain","prey_53",8,14,57.1428571428571,5.24,254.25,2.06096361848574,117.769349627757,1.80500596358125
"species=Astyanax_fasciatus__sex=F__region=montain","prey_30",9,14,64.2857142857143,4.58,254.25,1.80137659783677,115.802781289507,1.77486511972374
"species=Astyanax_fasciatus__sex=F__region=montain","prey_13",10,14,71.4285714285714,4.1,254.25,1.6125860373648,115.184716954628,1.76539228308281
"species=Astyanax_fasciatus__sex=F__region=montain","prey_50",9,14,64.2857142857143,4.29,254.25,1.68731563421829,108.470290771176,1.66248283048359
"species=Astyanax_fasciatus__sex=F__region=montain","prey_11",11,14,78.5714285714286,3.5,254.25,1.37659783677483,108.161258603736,1.65774641216312
"species=Astyanax_fasciatus__sex=F__region=montain","prey_59",8,14,57.1428571428571,4.67,254.25,1.83677482792527,104.95856159573,1.60865989502375
"species=Astyanax_fasciatus__sex=F__region=montain","prey_43",8,14,57.1428571428571,4.35,254.25,1.71091445427729,97.7665402444163,1.49843052320199
"species=Astyanax_fasciatus__sex=F__region=montain","prey_19",9,14,64.2857142857143,3.55,254.25,1.39626352015733,89.7597977243995,1.37571423035355
"species=Astyanax_fasciatus__sex=F__region=montain","prey_14",8,14,57.1428571428571,3.99,254.25,1.5693215339233,89.6755162241888,1.37442247990252
"species=Astyanax_fasciatus__sex=F__region=montain","prey_21",8,14,57.1428571428571,3.98,254.25,1.5653883972468,89.4507655569602,1.37097781203309
"species=Astyanax_fasciatus__sex=F__region=montain","prey_26",9,14,64.2857142857143,3.5,254.25,1.37659783677483,88.495575221239,1.35633797358801
"species=Astyanax_fasciatus__sex=F__region=montain","prey_49",8,14,57.1428571428571,3.87,254.25,1.52212389380531,86.9785082174463,1.33308646546936
"species=Astyanax_fasciatus__sex=F__region=montain","prey_32",8,14,57.1428571428571,3.74,254.25,1.47099311701082,84.0567495434752,1.28830578316677
"species=Astyanax_fasciatus__sex=F__region=montain","prey_38",8,14,57.1428571428571,3.41,254.25,1.34119960668633,76.6399775249333,1.17463174347558
"species=Astyanax_fasciatus__sex=F__region=montain","prey_39",7,14,50,3.73,254.25,1.46705998033432,73.3529990167158,1.12425347588517
"species=Astyanax_fasciatus__sex=F__region=montain","prey_51",9,14,64.2857142857143,2.84,254.25,1.11701081612586,71.8078381795196,1.10057138428284
"species=Astyanax_fasciatus__sex=F__region=montain","prey_17",7,14,50,3.6,254.25,1.41592920353982,70.7964601769911,1.08507037887041
"species=Astyanax_fasciatus__sex=F__region=montain","prey_33",7,14,50,3.55,254.25,1.39626352015733,69.8131760078663,1.06999995694165
"species=Astyanax_fasciatus__sex=F__region=montain","prey_1",7,14,50,3.35,254.25,1.31760078662734,65.8800393313668,1.00971826922663
"species=Astyanax_fasciatus__sex=F__region=montain","prey_37",7,14,50,3.07,254.25,1.20747295968535,60.3736479842674,0.925323906425597
"species=Astyanax_fasciatus__sex=F__region=montain","prey_45",8,14,57.1428571428571,2.66,254.25,1.04621435594887,59.7836774827925,0.916281653268344
"species=Astyanax_fasciatus__sex=F__region=montain","prey_46",6,14,42.8571428571429,3.48,254.25,1.36873156342183,58.6599241466498,0.899058313921195
"species=Astyanax_fasciatus__sex=F__region=montain","prey_4",6,14,42.8571428571429,3.3,254.25,1.29793510324484,55.6257901390645,0.852555297683891
"species=Astyanax_fasciatus__sex=F__region=montain","prey_12",6,14,42.8571428571429,3.17,254.25,1.24680432645034,53.4344711335862,0.81896978595695
"species=Astyanax_fasciatus__sex=F__region=montain","prey_52",5,14,35.7142857142857,3.61,254.25,1.41986234021632,50.7093692934401,0.777203188040113
"species=Astyanax_fasciatus__sex=F__region=montain","prey_41",7,14,50,2.57,254.25,1.01081612586037,50.5408062930187,0.774619687138041
"species=Astyanax_fasciatus__sex=F__region=montain","prey_34",7,14,50,2.28,254.25,0.896755162241888,44.8377581120944,0.687211239951258
"species=Astyanax_fasciatus__sex=F__region=montain","prey_35",6,14,42.8571428571429,2.6,254.25,1.02261553588987,43.826380109566,0.671710234538824
"species=Astyanax_fasciatus__sex=F__region=montain","prey_54",7,14,50,2.16,254.25,0.849557522123894,42.4778761061947,0.651042227322244
"species=Astyanax_fasciatus__sex=F__region=montain","prey_2",5,14,35.7142857142857,2.98,254.25,1.17207472959685,41.8598117713162,0.641569390681312
"species=Astyanax_fasciatus__sex=F__region=montain","prey_27",5,14,35.7142857142857,2.82,254.25,1.10914454277286,39.6123050990308,0.607122711987014
"species=Astyanax_fasciatus__sex=F__region=montain","prey_15",6,14,42.8571428571429,1.86,254.25,0.731563421828909,31.3527180783818,0.480531167785466
"species=Astyanax_fasciatus__sex=F__region=montain","prey_22",5,14,35.7142857142857,1.97,254.25,0.774827925270403,27.6724259025144,0.424124731423552
"species=Astyanax_fasciatus__sex=F__region=plains","prey_49",17,19,89.4736842105263,10.8,364.56,2.96247531270573,265.063580610512,4.05086080792168
"species=Astyanax_fasciatus__sex=F__region=plains","prey_45",15,19,78.9473684210526,8.99,364.56,2.46598639455782,194.68313641246,2.97526459666797
"species=Astyanax_fasciatus__sex=F__region=plains","prey_6",14,19,73.6842105263158,9.31,364.56,2.55376344086022,188.172043010753,2.87575815743198
"species=Astyanax_fasciatus__sex=F__region=plains","prey_54",15,19,78.9473684210526,8.42,364.56,2.30963353083169,182.339489276186,2.78662156884809
"species=Astyanax_fasciatus__sex=F__region=plains","prey_40",15,19,78.9473684210526,8.4,364.56,2.30414746543779,181.906378850352,2.78000251524037
"species=Astyanax_fasciatus__sex=F__region=plains","prey_32",15,19,78.9473684210526,8.15,364.56,2.23557164801404,176.492498527425,2.69726434514393
"species=Astyanax_fasciatus__sex=F__region=plains","prey_33",16,19,84.2105263157895,7.58,364.56,2.07921878428791,175.092108150561,2.67586273847899
"species=Astyanax_fasciatus__sex=F__region=plains","prey_39",15,19,78.9473684210526,7.56,364.56,2.07373271889401,163.715740965317,2.50200226371633
"species=Astyanax_fasciatus__sex=F__region=plains","prey_41",14,19,73.6842105263158,8.05,364.56,2.20814132104455,162.705149971703,2.48655780529833
"species=Astyanax_fasciatus__sex=F__region=plains","prey_42",14,19,73.6842105263158,7.32,364.56,2.00789993416722,147.950521464953,2.2610687123955
"species=Astyanax_fasciatus__sex=F__region=plains","prey_5",14,19,73.6842105263158,7.29,364.56,1.99967083607637,147.344166868785,2.2518020373447
"species=Astyanax_fasciatus__sex=F__region=plains","prey_30",15,19,78.9473684210526,6.75,364.56,1.85154707044108,146.174768719033,2.23393059260387
"species=Astyanax_fasciatus__sex=F__region=plains","prey_35",13,19,68.4210526315789,7.74,364.56,2.1231073074391,145.265236824781,2.22003058002767
"species=Astyanax_fasciatus__sex=F__region=plains","prey_14",13,19,68.4210526315789,7.06,364.56,1.93658108404652,132.502916276867,2.02498913372033
"species=Astyanax_fasciatus__sex=F__region=plains","prey_26",12,19,63.1578947368421,7.55,364.56,2.07098968619706,130.79934860192,1.99895418952998
"species=Astyanax_fasciatus__sex=F__region=plains","prey_17",14,19,73.6842105263158,6.32,364.56,1.73359666447224,127.738701592691,1.95217954403546
"species=Astyanax_fasciatus__sex=F__region=plains","prey_2",12,19,63.1578947368421,7.36,364.56,2.01887206495501,127.50770936558,1.94864938211135
"species=Astyanax_fasciatus__sex=F__region=plains","prey_58",14,19,73.6842105263158,6.18,364.56,1.69519420671494,124.909046810575,1.90893506046505
"species=Astyanax_fasciatus__sex=F__region=plains","prey_10",12,19,63.1578947368421,6.6,364.56,1.81040157998683,114.341152420221,1.7474301524368
"species=Astyanax_fasciatus__sex=F__region=plains","prey_22",12,19,63.1578947368421,6.54,364.56,1.79394338380513,113.301687398219,1.73154442377829
"species=Astyanax_fasciatus__sex=F__region=plains","prey_37",12,19,63.1578947368421,6.5,364.56,1.78297125301734,112.608710716884,1.72095393800594
"species=Astyanax_fasciatus__sex=F__region=plains","prey_43",11,19,57.8947368421053,7.06,364.56,1.93658108404652,112.117852234272,1.7134523439172
"species=Astyanax_fasciatus__sex=F__region=plains","prey_44",11,19,57.8947368421053,6.8,364.56,1.86526223392583,107.988866174653,1.65035069952365
"species=Astyanax_fasciatus__sex=F__region=plains","prey_23",12,19,63.1578947368421,6.14,364.56,1.68422207592715,106.371920584872,1.62563956605485
"species=Astyanax_fasciatus__sex=F__region=plains","prey_18",12,19,63.1578947368421,6.13,364.56,1.6814790432302,106.198676414539,1.62299194461176
"species=Astyanax_fasciatus__sex=F__region=plains","prey_36",12,19,63.1578947368421,6.08,364.56,1.66776387974545,105.33245556287,1.60975383739633
"species=Astyanax_fasciatus__sex=F__region=plains","prey_7",11,19,57.8947368421053,6.62,364.56,1.81588764538073,105.130337364148,1.60666494571273
"species=Astyanax_fasciatus__sex=F__region=plains","prey_53",12,19,63.1578947368421,5.95,364.56,1.6321044546851,103.080281348533,1.57533475863621
"species=Astyanax_fasciatus__sex=F__region=plains","prey_27",12,19,63.1578947368421,5.88,364.56,1.61290322580645,101.867572156197,1.55680140853461
"species=Astyanax_fasciatus__sex=F__region=plains","prey_13",14,19,73.6842105263158,4.99,364.56,1.36877331577792,100.856981162584,1.54135695011661
"species=Astyanax_fasciatus__sex=F__region=plains","prey_60",12,19,63.1578947368421,5.74,364.56,1.57450076804915,99.4421537715256,1.5197347083314
"species=Astyanax_fasciatus__sex=F__region=plains","prey_8",11,19,57.8947368421053,6.22,364.56,1.70616633750274,98.7780511185799,1.50958549279957
"species=Astyanax_fasciatus__sex=F__region=plains","prey_12",12,19,63.1578947368421,5.7,364.56,1.56352863726136,98.7491770901909,1.50914422255906
"species=Astyanax_fasciatus__sex=F__region=plains","prey_15",12,19,63.1578947368421,5.7,364.56,1.56352863726136,98.7491770901909,1.50914422255906
"species=Astyanax_fasciatus__sex=F__region=plains","prey_9",14,19,73.6842105263158,4.81,364.56,1.31939872723283,97.2188535855768,1.4857568998118
"species=Astyanax_fasciatus__sex=F__region=plains","prey_4",13,19,68.4210526315789,5.15,364.56,1.41266183892912,96.6558100319924,1.47715213012177
