"species","sampling_area","prey_item","stomachs_with_prey","total_stomachs","frequency_occurrence"
"Astyanax_fasciatus","Area_1","prey_1",22,22,100
"Astyanax_fasciatus","Area_1","prey_10",22,22,100
"Astyanax_fasciatus","Area_1","prey_11",22,22,100
"Astyanax_fasciatus","Area_1","prey_12",22,22,100
"Astyanax_fasciatus","Area_1","prey_13",22,22,100
"Astyanax_fasciatus","Area_1","prey_14",22,22,100
"Astyanax_fasciatus","Area_1","prey_15",22,22,100
"Astyanax_fasciatus","Area_1","prey_16",22,22,100
"Astyanax_fasciatus","Area_1","prey_17",22,22,100
"Astyanax_fasciatus","Area_1","prey_18",22,22,100
"Astyanax_fasciatus","Area_1","prey_19",22,22,100
"Astyanax_fasciatus","Area_1","prey_2",22,22,100
"Astyanax_fasciatus","Area_1","prey_20",22,22,100
"Astyanax_fasciatus","Area_1","prey_21",22,22,100
"Astyanax_fasciatus","Area_1","prey_22",22,22,100
"Astyanax_fasciatus","Area_1","prey_23",22,22,100
"Astyanax_fasciatus","Area_1","prey_24",22,22,100
"Astyanax_fasciatus","Area_1","prey_25",22,22,100
"Astyanax_fasciatus","Area_1","prey_26",22,22,100
"Astyanax_fasciatus","Area_1","prey_27",22,22,100
"Astyanax_fasciatus","Area_1","prey_28",22,22,100
"Astyanax_fasciatus","Area_1","prey_29",22,22,100
"Astyanax_fasciatus","Area_1","prey_3",22,22,100
"Astyanax_fasciatus","Area_1","prey_30",22,22,100
"Astyanax_fasciatus","Area_1","prey_31",22,22,100
"Astyanax_fasciatus","Area_1","prey_32",22,22,100
"Astyanax_fasciatus","Area_1","prey_33",22,22,100
"Astyanax_fasciatus","Area_1","prey_34",22,22,100
"Astyanax_fasciatus","Area_1","prey_35",22,22,100
"Astyanax_fasciatus","Area_1","prey_36",22,22,100
"Astyanax_fasciatus","Area_1","prey_37",22,22,100
"Astyanax_fasciatus","Area_1","prey_38",22,22,100
"Astyanax_fasciatus","Area_1","prey_39",22,22,100
"Astyanax_fasciatus","Area_1","prey_4",22,22,100
"Astyanax_fasciatus","Area_1","prey_40",22,22,100
"Astyanax_fasciatus","Area_1","prey_41",22,22,100
"Astyanax_fasciatus","Area_1","prey_42",22,22,100
